"annotation_id","annotator","avg_rating","created_at","description","genre","id","lead_time","num_ratings","sentiment","title","updated_at"
18,"1",4.3,"2025-04-25T12:17:05.236961Z","Історія сповнена символіки та метафор, що відображають ліс. Читацький досвід збагачений глибокими роздумами про ліс. Автор занурює читача в атмосферу ліс, поєднуючи драму та пригоди.","Проза",67,82.366,38,"Поезія","Шлях ліс","2025-04-25T12:17:05.237016Z"
19,"1",4.6,"2025-04-25T12:17:08.996128Z","Історія сповнена символіки та метафор, що відображають сонце. Роман ідеально пасує для шанувальників жанру, хто цінує сонце. Автор занурює читача в атмосферу сонце, поєднуючи драму та пригоди.","Детектив",68,3.271,186,"Проза","Шлях сонце","2025-04-25T12:17:08.996176Z"
20,"1",3.1,"2025-04-25T12:17:12.235548Z","Роман ідеально пасує для шанувальників жанру, хто цінує двір. Читацький досвід збагачений глибокими роздумами про двір. Історія сповнена символіки та метафор, що відображають двір.","Фентезі",69,2.737,474,"Детектив","Шлях двір","2025-04-25T12:17:12.235601Z"
21,"1",1.2,"2025-04-25T12:17:16.281951Z","Читацький досвід збагачений глибокими роздумами про сновидіння. Історія сповнена символіки та метафор, що відображають сновидіння. Автор занурює читача в атмосферу сновидіння, поєднуючи драму та пригоди.","Фентезі",70,3.569,420,"Нон-фікшн","Подорож до сновидіння","2025-04-25T12:17:16.282024Z"
22,"1",2.8,"2025-04-25T12:17:20.207977Z","Ця книга розповідає про код, де кожен поворот сюжету тримає в напрузі. Автор занурює читача в атмосферу код, поєднуючи драму та пригоди. Читацький досвід збагачений глибокими роздумами про код.","Фентезі",71,3.336,828,"Детектив","Пошуки код","2025-04-25T12:17:20.208035Z"
23,"1",4.3,"2025-04-25T12:17:24.461438Z","Історія сповнена символіки та метафор, що відображають сонце. Роман ідеально пасує для шанувальників жанру, хто цінує сонце. Автор занурює читача в атмосферу сонце, поєднуючи драму та пригоди.","Детектив",72,3.733,531,"Проза","Пошуки сонце","2025-04-25T12:17:24.461495Z"
24,"1",4.7,"2025-04-25T12:17:28.606749Z","Читацький досвід збагачений глибокими роздумами про сонце. Роман ідеально пасує для шанувальників жанру, хто цінує сонце. Історія сповнена символіки та метафор, що відображають сонце.","Поезія",73,3.672,929,"Нон-фікшн","Подорож до сонце","2025-04-25T12:17:28.606838Z"
25,"1",3.1,"2025-04-25T12:17:32.956447Z","Історія сповнена символіки та метафор, що відображають ніч. Ця книга розповідає про ніч, де кожен поворот сюжету тримає в напрузі. Автор занурює читача в атмосферу ніч, поєднуючи драму та пригоди.","Нон-фікшн",74,3.909,462,"Нон-фікшн","Пригоди в ніч","2025-04-25T12:17:32.956503Z"
26,"1",4.2,"2025-04-25T12:17:36.230397Z","Роман ідеально пасує для шанувальників жанру, хто цінує двір. Ця книга розповідає про двір, де кожен поворот сюжету тримає в напрузі. Читацький досвід збагачений глибокими роздумами про двір.","Фентезі",75,2.759,67,"Детектив","Шлях двір","2025-04-25T12:17:36.230447Z"
27,"1",1.7,"2025-04-25T12:17:39.852407Z","Роман ідеально пасує для шанувальників жанру, хто цінує код. Ця книга розповідає про код, де кожен поворот сюжету тримає в напрузі. Читацький досвід збагачений глибокими роздумами про код.","Фентезі",76,3.196,586,"Проза","Шлях код","2025-04-25T12:17:39.852459Z"
28,"1",1.8,"2025-04-25T12:17:43.445107Z","Роман ідеально пасує для шанувальників жанру, хто цінує місто. Автор занурює читача в атмосферу місто, поєднуючи драму та пригоди. Читацький досвід збагачений глибокими роздумами про місто.","Нон-фікшн",77,3.151,120,"Нон-фікшн","Шлях місто","2025-04-25T12:17:43.445171Z"
29,"1",3.5,"2025-04-25T12:17:47.332714Z","Історія сповнена символіки та метафор, що відображають двір. Ця книга розповідає про двір, де кожен поворот сюжету тримає в напрузі. Читацький досвід збагачений глибокими роздумами про двір.","Фентезі",78,3.327,830,"Нон-фікшн","Шлях двір","2025-04-25T12:17:47.332775Z"
30,"1",1.5,"2025-04-25T12:17:51.134885Z","Читацький досвід збагачений глибокими роздумами про мандрівка. Ця книга розповідає про мандрівка, де кожен поворот сюжету тримає в напрузі. Роман ідеально пасує для шанувальників жанру, хто цінує мандрівка.","Фентезі",79,3.301,221,"Нон-фікшн","Золотий мандрівка","2025-04-25T12:17:51.134938Z"
31,"1",1.0,"2025-04-25T12:17:54.726428Z","Історія сповнена символіки та метафор, що відображають двір. Роман ідеально пасує для шанувальників жанру, хто цінує двір. Ця книга розповідає про двір, де кожен поворот сюжету тримає в напрузі.","Нон-фікшн",80,3.146,335,"Детектив","Шлях двір","2025-04-25T12:17:54.726496Z"
32,"1",4.6,"2025-04-25T12:17:58.013592Z","Ця книга розповідає про ніч, де кожен поворот сюжету тримає в напрузі. Історія сповнена символіки та метафор, що відображають ніч. Роман ідеально пасує для шанувальників жанру, хто цінує ніч.","Проза",81,2.774,402,"Поезія","Незвіданий ніч","2025-04-25T12:17:58.013645Z"
33,"1",2.0,"2025-04-25T12:18:02.822415Z","Історія сповнена символіки та метафор, що відображають сонце. Ця книга розповідає про сонце, де кожен поворот сюжету тримає в напрузі. Роман ідеально пасує для шанувальників жанру, хто цінує сонце.","Детектив",82,4.351,39,"Нон-фікшн","Пригоди в сонце","2025-04-25T12:18:02.822461Z"
34,"1",4.5,"2025-04-25T12:18:07.113251Z","Історія сповнена символіки та метафор, що відображають сонце. Автор занурює читача в атмосферу сонце, поєднуючи драму та пригоди. Читацький досвід збагачений глибокими роздумами про сонце.","Поезія",83,3.834,734,"Фентезі","Загадковий сонце","2025-04-25T12:18:07.113297Z"
35,"1",4.3,"2025-04-25T12:18:10.851513Z","Роман ідеально пасує для шанувальників жанру, хто цінує океан. Ця книга розповідає про океан, де кожен поворот сюжету тримає в напрузі. Читацький досвід збагачений глибокими роздумами про океан.","Проза",84,3.271,207,"Проза","Подорож до океан","2025-04-25T12:18:10.851563Z"
36,"1",4.9,"2025-04-25T12:18:14.760754Z","Історія сповнена символіки та метафор, що відображають океан. Роман ідеально пасує для шанувальників жанру, хто цінує океан. Ця книга розповідає про океан, де кожен поворот сюжету тримає в напрузі.","Проза",85,3.467,869,"Нон-фікшн","Срібний океан","2025-04-25T12:18:14.760896Z"
37,"1",1.9,"2025-04-25T12:18:18.127527Z","Читацький досвід збагачений глибокими роздумами про двір. Автор занурює читача в атмосферу двір, поєднуючи драму та пригоди. Історія сповнена символіки та метафор, що відображають двір.","Проза",86,2.891,675,"Детектив","Шлях двір","2025-04-25T12:18:18.127634Z"
38,"1",2.5,"2025-04-25T12:18:23.075564Z","Історія сповнена символіки та метафор, що відображають двір. Ця книга розповідає про двір, де кожен поворот сюжету тримає в напрузі. Автор занурює читача в атмосферу двір, поєднуючи драму та пригоди.","Детектив",87,4.364,206,"Проза","Пошуки двір","2025-04-25T12:18:23.075611Z"
39,"1",2.0,"2025-04-25T12:18:27.173149Z","Роман ідеально пасує для шанувальників жанру, хто цінує код. Історія сповнена символіки та метафор, що відображають код. Ця книга розповідає про код, де кожен поворот сюжету тримає в напрузі.","Нон-фікшн",88,3.659,94,"Нон-фікшн","Золотий код","2025-04-25T12:18:27.173195Z"
40,"1",1.9,"2025-04-25T12:18:33.962947Z","Історія сповнена символіки та метафор, що відображають код. Роман ідеально пасує для шанувальників жанру, хто цінує код. Автор занурює читача в атмосферу код, поєднуючи драму та пригоди.","Детектив",89,6.305,596,"Детектив","Шлях код","2025-04-25T12:18:33.962998Z"
41,"1",2.8,"2025-04-25T12:18:38.002342Z","Історія сповнена символіки та метафор, що відображають код. Автор занурює читача в атмосферу код, поєднуючи драму та пригоди. Роман ідеально пасує для шанувальників жанру, хто цінує код.","Фентезі",90,3.535,473,"Нон-фікшн","Шлях код","2025-04-25T12:18:38.002394Z"
42,"1",2.3,"2025-04-25T12:18:41.228878Z","Автор занурює читача в атмосферу ліс, поєднуючи драму та пригоди. Історія сповнена символіки та метафор, що відображають ліс. Роман ідеально пасує для шанувальників жанру, хто цінує ліс.","Детектив",91,2.844,59,"Детектив","Пошуки ліс","2025-04-25T12:18:41.228923Z"
43,"1",1.4,"2025-04-25T12:18:44.461221Z","Роман ідеально пасує для шанувальників жанру, хто цінує сонце. Історія сповнена символіки та метафор, що відображають сонце. Ця книга розповідає про сонце, де кожен поворот сюжету тримає в напрузі.","Поезія",92,2.828,752,"Детектив","Подорож до сонце","2025-04-25T12:18:44.461277Z"
44,"1",2.5,"2025-04-25T12:18:48.163611Z","Ця книга розповідає про код, де кожен поворот сюжету тримає в напрузі. Роман ідеально пасує для шанувальників жанру, хто цінує код. Читацький досвід збагачений глибокими роздумами про код.","Детектив",93,3.15,482,"Нон-фікшн","Шлях код","2025-04-25T12:18:48.163659Z"
45,"1",1.1,"2025-04-25T12:18:52.364841Z","Ця книга розповідає про сонце, де кожен поворот сюжету тримає в напрузі. Читацький досвід збагачений глибокими роздумами про сонце. Автор занурює читача в атмосферу сонце, поєднуючи драму та пригоди.","Нон-фікшн",94,3.712,223,"Проза","Шлях сонце","2025-04-25T12:18:52.364905Z"
46,"1",2.1,"2025-04-25T12:18:56.169975Z","Історія сповнена символіки та метафор, що відображають сновидіння. Ця книга розповідає про сновидіння, де кожен поворот сюжету тримає в напрузі. Читацький досвід збагачений глибокими роздумами про сновидіння.","Фентезі",95,3.379,315,"Детектив","Подорож до сновидіння","2025-04-25T12:18:56.170028Z"
47,"1",1.3,"2025-04-25T12:18:59.799548Z","Автор занурює читача в атмосферу океан, поєднуючи драму та пригоди. Ця книга розповідає про океан, де кожен поворот сюжету тримає в напрузі. Роман ідеально пасує для шанувальників жанру, хто цінує океан.","Проза",96,3.187,205,"Фентезі","Подорож до океан","2025-04-25T12:18:59.799608Z"
48,"1",1.3,"2025-04-25T12:19:02.826992Z","Ця книга розповідає про двір, де кожен поворот сюжету тримає в напрузі. Читацький досвід збагачений глибокими роздумами про двір. Роман ідеально пасує для шанувальників жанру, хто цінує двір.","Поезія",97,2.578,558,"Нон-фікшн","Пошуки двір","2025-04-25T12:19:02.827042Z"
49,"1",4.9,"2025-04-25T12:19:07.409786Z","Читацький досвід збагачений глибокими роздумами про двір. Історія сповнена символіки та метафор, що відображають двір. Автор занурює читача в атмосферу двір, поєднуючи драму та пригоди.","Поезія",98,4.11,347,"Детектив","Подорож до двір","2025-04-25T12:19:07.409847Z"
50,"1",1.3,"2025-04-25T12:19:11.840037Z","Автор занурює читача в атмосферу двір, поєднуючи драму та пригоди. Ця книга розповідає про двір, де кожен поворот сюжету тримає в напрузі. Роман ідеально пасує для шанувальників жанру, хто цінує двір.","Поезія",99,3.888,307,"Нон-фікшн","Шлях двір","2025-04-25T12:19:11.840109Z"
51,"1",3.9,"2025-04-25T12:19:15.258761Z","Роман ідеально пасує для шанувальників жанру, хто цінує код. Читацький досвід збагачений глибокими роздумами про код. Ця книга розповідає про код, де кожен поворот сюжету тримає в напрузі.","Детектив",100,2.87,615,"Проза","Пошуки код","2025-04-25T12:19:15.258845Z"
