annotation_id,annotator,avg_rating,created_at,description,genre,id,lead_time,num_ratings,sentiment,title,updated_at,label_issue
21,1,1.2,2025-04-25T12:17:16.281951Z,"Читацький досвід збагачений глибокими роздумами про сновидіння. Історія сповнена символіки та метафор, що відображають сновидіння. Автор занурює читача в атмосферу сновидіння, поєднуючи драму та пригоди.",Фентезі,70,3.569,420,Нон-фікшн,Подорож до сновидіння,2025-04-25T12:17:16.282024Z,False
22,1,2.8,2025-04-25T12:17:20.207977Z,"Ця книга розповідає про код, де кожен поворот сюжету тримає в напрузі. Автор занурює читача в атмосферу код, поєднуючи драму та пригоди. Читацький досвід збагачений глибокими роздумами про код.",Фентезі,71,3.336,828,Детектив,Пошуки код,2025-04-25T12:17:20.208035Z,False
23,1,4.3,2025-04-25T12:17:24.461438Z,"Історія сповнена символіки та метафор, що відображають сонце. Роман ідеально пасує для шанувальників жанру, хто цінує сонце. Автор занурює читача в атмосферу сонце, поєднуючи драму та пригоди.",Детектив,72,3.733,531,Проза,Пошуки сонце,2025-04-25T12:17:24.461495Z,True
24,1,4.7,2025-04-25T12:17:28.606749Z,"Читацький досвід збагачений глибокими роздумами про сонце. Роман ідеально пасує для шанувальників жанру, хто цінує сонце. Історія сповнена символіки та метафор, що відображають сонце.",Поезія,73,3.672,929,Нон-фікшн,Подорож до сонце,2025-04-25T12:17:28.606838Z,False
25,1,3.1,2025-04-25T12:17:32.956447Z,"Історія сповнена символіки та метафор, що відображають ніч. Ця книга розповідає про ніч, де кожен поворот сюжету тримає в напрузі. Автор занурює читача в атмосферу ніч, поєднуючи драму та пригоди.",Нон-фікшн,74,3.909,462,Нон-фікшн,Пригоди в ніч,2025-04-25T12:17:32.956503Z,True
26,1,4.2,2025-04-25T12:17:36.230397Z,"Роман ідеально пасує для шанувальників жанру, хто цінує двір. Ця книга розповідає про двір, де кожен поворот сюжету тримає в напрузі. Читацький досвід збагачений глибокими роздумами про двір.",Фентезі,75,2.759,67,Детектив,Шлях двір,2025-04-25T12:17:36.230447Z,False
27,1,1.7,2025-04-25T12:17:39.852407Z,"Роман ідеально пасує для шанувальників жанру, хто цінує код. Ця книга розповідає про код, де кожен поворот сюжету тримає в напрузі. Читацький досвід збагачений глибокими роздумами про код.",Фентезі,76,3.196,586,Проза,Шлях код,2025-04-25T12:17:39.852459Z,False
28,1,1.8,2025-04-25T12:17:43.445107Z,"Роман ідеально пасує для шанувальників жанру, хто цінує місто. Автор занурює читача в атмосферу місто, поєднуючи драму та пригоди. Читацький досвід збагачений глибокими роздумами про місто.",Нон-фікшн,77,3.151,120,Нон-фікшн,Шлях місто,2025-04-25T12:17:43.445171Z,False
29,1,3.5,2025-04-25T12:17:47.332714Z,"Історія сповнена символіки та метафор, що відображають двір. Ця книга розповідає про двір, де кожен поворот сюжету тримає в напрузі. Читацький досвід збагачений глибокими роздумами про двір.",Фентезі,78,3.327,830,Нон-фікшн,Шлях двір,2025-04-25T12:17:47.332775Z,True
30,1,1.5,2025-04-25T12:17:51.134885Z,"Читацький досвід збагачений глибокими роздумами про мандрівка. Ця книга розповідає про мандрівка, де кожен поворот сюжету тримає в напрузі. Роман ідеально пасує для шанувальників жанру, хто цінує мандрівка.",Фентезі,79,3.301,221,Нон-фікшн,Золотий мандрівка,2025-04-25T12:17:51.134938Z,False
31,1,1.0,2025-04-25T12:17:54.726428Z,"Історія сповнена символіки та метафор, що відображають двір. Роман ідеально пасує для шанувальників жанру, хто цінує двір. Ця книга розповідає про двір, де кожен поворот сюжету тримає в напрузі.",Нон-фікшн,80,3.146,335,Детектив,Шлях двір,2025-04-25T12:17:54.726496Z,False
32,1,4.6,2025-04-25T12:17:58.013592Z,"Ця книга розповідає про ніч, де кожен поворот сюжету тримає в напрузі. Історія сповнена символіки та метафор, що відображають ніч. Роман ідеально пасує для шанувальників жанру, хто цінує ніч.",Проза,81,2.774,402,Поезія,Незвіданий ніч,2025-04-25T12:17:58.013645Z,False
33,1,2.0,2025-04-25T12:18:02.822415Z,"Історія сповнена символіки та метафор, що відображають сонце. Ця книга розповідає про сонце, де кожен поворот сюжету тримає в напрузі. Роман ідеально пасує для шанувальників жанру, хто цінує сонце.",Детектив,82,4.351,39,Нон-фікшн,Пригоди в сонце,2025-04-25T12:18:02.822461Z,False
34,1,4.5,2025-04-25T12:18:07.113251Z,"Історія сповнена символіки та метафор, що відображають сонце. Автор занурює читача в атмосферу сонце, поєднуючи драму та пригоди. Читацький досвід збагачений глибокими роздумами про сонце.",Поезія,83,3.834,734,Фентезі,Загадковий сонце,2025-04-25T12:18:07.113297Z,False
35,1,4.3,2025-04-25T12:18:10.851513Z,"Роман ідеально пасує для шанувальників жанру, хто цінує океан. Ця книга розповідає про океан, де кожен поворот сюжету тримає в напрузі. Читацький досвід збагачений глибокими роздумами про океан.",Проза,84,3.271,207,Проза,Подорож до океан,2025-04-25T12:18:10.851563Z,False
36,1,4.9,2025-04-25T12:18:14.760754Z,"Історія сповнена символіки та метафор, що відображають океан. Роман ідеально пасує для шанувальників жанру, хто цінує океан. Ця книга розповідає про океан, де кожен поворот сюжету тримає в напрузі.",Проза,85,3.467,869,Нон-фікшн,Срібний океан,2025-04-25T12:18:14.760896Z,False
37,1,1.9,2025-04-25T12:18:18.127527Z,"Читацький досвід збагачений глибокими роздумами про двір. Автор занурює читача в атмосферу двір, поєднуючи драму та пригоди. Історія сповнена символіки та метафор, що відображають двір.",Проза,86,2.891,675,Детектив,Шлях двір,2025-04-25T12:18:18.127634Z,True
38,1,2.5,2025-04-25T12:18:23.075564Z,"Історія сповнена символіки та метафор, що відображають двір. Ця книга розповідає про двір, де кожен поворот сюжету тримає в напрузі. Автор занурює читача в атмосферу двір, поєднуючи драму та пригоди.",Детектив,87,4.364,206,Проза,Пошуки двір,2025-04-25T12:18:23.075611Z,False
39,1,2.0,2025-04-25T12:18:27.173149Z,"Роман ідеально пасує для шанувальників жанру, хто цінує код. Історія сповнена символіки та метафор, що відображають код. Ця книга розповідає про код, де кожен поворот сюжету тримає в напрузі.",Нон-фікшн,88,3.659,94,Нон-фікшн,Золотий код,2025-04-25T12:18:27.173195Z,True
40,1,1.9,2025-04-25T12:18:33.962947Z,"Історія сповнена символіки та метафор, що відображають код. Роман ідеально пасує для шанувальників жанру, хто цінує код. Автор занурює читача в атмосферу код, поєднуючи драму та пригоди.",Детектив,89,6.305,596,Детектив,Шлях код,2025-04-25T12:18:33.962998Z,True
41,1,2.8,2025-04-25T12:18:38.002342Z,"Історія сповнена символіки та метафор, що відображають код. Автор занурює читача в атмосферу код, поєднуючи драму та пригоди. Роман ідеально пасує для шанувальників жанру, хто цінує код.",Фентезі,90,3.535,473,Нон-фікшн,Шлях код,2025-04-25T12:18:38.002394Z,True
42,1,2.3,2025-04-25T12:18:41.228878Z,"Автор занурює читача в атмосферу ліс, поєднуючи драму та пригоди. Історія сповнена символіки та метафор, що відображають ліс. Роман ідеально пасує для шанувальників жанру, хто цінує ліс.",Детектив,91,2.844,59,Детектив,Пошуки ліс,2025-04-25T12:18:41.228923Z,True
43,1,1.4,2025-04-25T12:18:44.461221Z,"Роман ідеально пасує для шанувальників жанру, хто цінує сонце. Історія сповнена символіки та метафор, що відображають сонце. Ця книга розповідає про сонце, де кожен поворот сюжету тримає в напрузі.",Поезія,92,2.828,752,Детектив,Подорож до сонце,2025-04-25T12:18:44.461277Z,False
44,1,2.5,2025-04-25T12:18:48.163611Z,"Ця книга розповідає про код, де кожен поворот сюжету тримає в напрузі. Роман ідеально пасує для шанувальників жанру, хто цінує код. Читацький досвід збагачений глибокими роздумами про код.",Детектив,93,3.15,482,Нон-фікшн,Шлях код,2025-04-25T12:18:48.163659Z,True
45,1,1.1,2025-04-25T12:18:52.364841Z,"Ця книга розповідає про сонце, де кожен поворот сюжету тримає в напрузі. Читацький досвід збагачений глибокими роздумами про сонце. Автор занурює читача в атмосферу сонце, поєднуючи драму та пригоди.",Нон-фікшн,94,3.712,223,Проза,Шлях сонце,2025-04-25T12:18:52.364905Z,True
46,1,2.1,2025-04-25T12:18:56.169975Z,"Історія сповнена символіки та метафор, що відображають сновидіння. Ця книга розповідає про сновидіння, де кожен поворот сюжету тримає в напрузі. Читацький досвід збагачений глибокими роздумами про сновидіння.",Фентезі,95,3.379,315,Детектив,Подорож до сновидіння,2025-04-25T12:18:56.170028Z,False
47,1,1.3,2025-04-25T12:18:59.799548Z,"Автор занурює читача в атмосферу океан, поєднуючи драму та пригоди. Ця книга розповідає про океан, де кожен поворот сюжету тримає в напрузі. Роман ідеально пасує для шанувальників жанру, хто цінує океан.",Проза,96,3.187,205,Фентезі,Подорож до океан,2025-04-25T12:18:59.799608Z,False
48,1,1.3,2025-04-25T12:19:02.826992Z,"Ця книга розповідає про двір, де кожен поворот сюжету тримає в напрузі. Читацький досвід збагачений глибокими роздумами про двір. Роман ідеально пасує для шанувальників жанру, хто цінує двір.",Поезія,97,2.578,558,Нон-фікшн,Пошуки двір,2025-04-25T12:19:02.827042Z,True
49,1,4.9,2025-04-25T12:19:07.409786Z,"Читацький досвід збагачений глибокими роздумами про двір. Історія сповнена символіки та метафор, що відображають двір. Автор занурює читача в атмосферу двір, поєднуючи драму та пригоди.",Поезія,98,4.11,347,Детектив,Подорож до двір,2025-04-25T12:19:07.409847Z,True
50,1,1.3,2025-04-25T12:19:11.840037Z,"Автор занурює читача в атмосферу двір, поєднуючи драму та пригоди. Ця книга розповідає про двір, де кожен поворот сюжету тримає в напрузі. Роман ідеально пасує для шанувальників жанру, хто цінує двір.",Поезія,99,3.888,307,Нон-фікшн,Шлях двір,2025-04-25T12:19:11.840109Z,True
51,1,3.9,2025-04-25T12:19:15.258761Z,"Роман ідеально пасує для шанувальників жанру, хто цінує код. Читацький досвід збагачений глибокими роздумами про код. Ця книга розповідає про код, де кожен поворот сюжету тримає в напрузі.",Детектив,100,2.87,615,Проза,Пошуки код,2025-04-25T12:19:15.258845Z,True
52,1,3.5,2025-04-25T12:19:20.258845Z,"Ця книга розповідає про гора, де кожен поворот сюжету тримає в напрузі. Історія сповнена символіки та метафор, що відображають гора. Автор занурює читача в атмосферу гора, поєднуючи драму та пригоди.",Фентезі,101,3.2,400,Фентезі,Шлях гора,2025-04-25T12:19:20.258900Z,True
53,1,2.8,2025-04-25T12:19:25.258845Z,"Читацький досвід збагачений глибокими роздумами про річка. Історія сповнена символіки та метафор, що відображають річка. Роман ідеально пасує для шанувальників жанру, хто цінує річка.",Фентезі,102,2.9,350,Фентезі,Подорож до річка,2025-04-25T12:19:25.258900Z,False
54,1,4.0,2025-04-25T12:19:30.258845Z,"Автор занурює читача в атмосферу село, поєднуючи драму та пригоди. Ця книга розповідає про село, де кожен поворот сюжету тримає в напрузі. Читацький досвід збагачений глибокими роздумами про село.",Фентезі,103,3.5,500,Фентезі,Шлях село,2025-04-25T12:19:30.258900Z,True
55,1,3.2,2025-04-25T12:19:35.258845Z,"Роман ідеально пасує для шанувальників жанру, хто цінує пустеля. Історія сповнена символіки та метафор, що відображають пустеля. Читацький досвід збагачений глибокими роздумами про пустеля.",Фентезі,104,3.0,420,Фентезі,Подорож до пустеля,2025-04-25T12:19:35.258900Z,True
56,1,2.9,2025-04-25T12:19:40.258845Z,"Ця книга розповідає про небо, де кожен поворот сюжету тримає в напрузі. Автор занурює читача в атмосферу небо, поєднуючи драму та пригоди. Історія сповнена символіки та метафор, що відображають небо.",Фентезі,105,3.1,380,Фентезі,Шлях небо,2025-04-25T12:19:40.258900Z,True
57,1,3.7,2025-04-25T12:19:45.258845Z,"Читацький досвід збагачений глибокими роздумами про зірка. Роман ідеально пасує для шанувальників жанру, хто цінує зірка. Історія сповнена символіки та метафор, що відображають зірка.",Фентезі,106,2.8,450,Фентезі,Подорож до зірка,2025-04-25T12:19:45.258900Z,True
58,1,3.0,2025-04-25T12:19:50.258845Z,"Ця книга розповідає про історію старовинного замку, розкриваючи його таємниці. Читацький досвід збагачений фактами та аналізом про замок. Роман ідеально пасує для тих, хто цінує історичні розвідки.",Нон-фікшн,107,3.3,300,Нон-фікшн,Таємниці замку,2025-04-25T12:19:50.258900Z,False
59,1,2.5,2025-04-25T12:19:55.258845Z,"Автор ділиться дослідженнями про еволюцію технологій у селі. Читацький досвід збагачений фактами та аналізом про село. Ця книга ідеально пасує для тих, хто цінує наукові розвідки.",Нон-фікшн,108,3.0,320,Нон-фікшн,Село і технології,2025-04-25T12:19:55.258900Z,False
60,1,4.1,2025-04-25T12:20:00.258845Z,"Ця книга розповідає про подорожі пустелею, розкриваючи її історію. Читацький досвід збагачений фактами та аналізом про пустеля. Роман ідеально пасує для тих, хто цінує історичні розвідки.",Нон-фікшн,109,3.4,350,Нон-фікшн,Пустельні мандри,2025-04-25T12:20:00.258900Z,False
61,1,3.8,2025-04-25T12:20:05.258845Z,"Автор ділиться дослідженнями про екосистему річки. Читацький досвід збагачений фактами та аналізом про річка. Ця книга ідеально пасує для тих, хто цінує наукові розвідки.",Нон-фікшн,110,3.2,310,Нон-фікшн,Життя річки,2025-04-25T12:20:05.258900Z,False
62,1,2.7,2025-04-25T12:20:10.258845Z,"Ця книга розкриває історію старовинного неба в астрономії. Читацький досвід збагачений фактами та аналізом про небо. Роман ідеально пасує для тих, хто цінує наукові розвідки.",Нон-фікшн,111,3.1,340,Нон-фікшн,Астрономія неба,2025-04-25T12:20:10.258900Z,False
63,1,3.4,2025-04-25T12:20:15.258845Z,"Автор досліджує вплив гір на культуру місцевих племен. Читацький досвід збагачений фактами та аналізом про гора. Ця книга ідеально пасує для тих, хто цінує історичні розвідки.",Нон-фікшн,112,3.3,330,Нон-фікшн,Гори і традиції,2025-04-25T12:20:15.258900Z,False
64,1,2.6,2025-04-25T12:20:20.258845Z,"Ця книга — поетична подорож горами, де кожне слово оспівує їхню велич. Історія сповнена символіки та метафор, що відображають гора. Роман ідеально пасує для шанувальників жанру, хто цінує гора.",Поезія,113,3.0,400,Поезія,Гірські вірші,2025-04-25T12:20:20.258900Z,False
65,1,3.9,2025-04-25T12:20:25.258845Z,"Поетична оповідь про річку, що оживає у віршах. Читацький досвід збагачений символікою та метафорами, що відображають річка. Роман ідеально пасує для шанувальників жанру, хто цінує річка.",Поезія,114,3.2,380,Поезія,Річкові строфи,2025-04-25T12:20:25.258900Z,False
66,1,4.2,2025-04-25T12:20:30.258845Z,"Ця книга — поетична подорож селом, де кожне слово оспівує його красу. Історія сповнена символіки та метафор, що відображають село. Роман ідеально пасує для шанувальників жанру, хто цінує село.",Поезія,115,3.1,420,Поезія,Сільські вірші,2025-04-25T12:20:30.258900Z,False
67,1,3.5,2025-04-25T12:20:35.258845Z,"Поетична оповідь про пустелю, що оживає у віршах. Читацький досвід збагачений символікою та метафорами, що відображають пустеля. Роман ідеально пасує для шанувальників жанру, хто цінує пустеля.",Поезія,116,3.3,390,Поезія,Пустельні строфи,2025-04-25T12:20:35.258900Z,False
68,1,2.8,2025-04-25T12:20:40.258845Z,"Ця книга — поетична подорож небом, де кожне слово оспівує його простори. Історія сповнена символіки та метафор, що відображають небо. Роман ідеально пасує для шанувальників жанру, хто цінує небо.",Поезія,117,3.0,410,Поезія,Небесні вірші,2025-04-25T12:20:40.258900Z,False
69,1,3.1,2025-04-25T12:20:45.258845Z,"Поетична оповідь про зірку, що оживає у віршах. Читацький досвід збагачений символікою та метафорами, що відображають зірка. Роман ідеально пасує для шанувальників жанру, хто цінує зірка.",Поезія,118,3.2,400,Поезія,Зоряні строфи,2025-04-25T12:20:45.258900Z,False
70,1,3.3,2025-04-25T12:20:50.258845Z,"Ця книга розповідає про село, де кожен поворот сюжету тримає в напрузі. Читацький досвід збагачений глибокими роздумами про село. Автор занурює читача в атмосферу село, поєднуючи драму та пригоди.",Проза,119,3.1,430,Проза,Сільські історії,2025-04-25T12:20:50.258900Z,True
71,1,2.9,2025-04-25T12:20:55.258845Z,"Автор занурює читача в атмосферу пустеля, поєднуючи драму та пригоди. Історія сповнена символіки та метафор, що відображають пустеля. Читацький досвід збагачений глибокими роздумами про пустеля.",Проза,120,3.0,410,Проза,Пустельні оповіді,2025-04-25T12:20:55.258900Z,True
72,1,4.0,2025-04-25T12:21:00.258845Z,"Читацький досвід збагачений глибокими роздумами про небо. Роман ідеально пасує для шанувальників жанру, хто цінує небо. Історія сповнена символіки та метафор, що відображають небо.",Проза,121,3.2,390,Проза,Небесні оповіді,2025-04-25T12:21:00.258900Z,True
73,1,3.6,2025-04-25T12:21:05.258845Z,"Історія сповнена символіки та метафор, що відображають зірка. Автор занурює читача в атмосферу зірка, поєднуючи драму та пригоди. Читацький досвід збагачений глибокими роздумами про зірка.",Проза,122,3.1,420,Проза,Зоряні історії,2025-04-25T12:21:05.258900Z,False
74,1,2.7,2025-04-25T12:21:10.258845Z,"Ця книга розповідає про річка, де кожен поворот сюжету тримає в напрузі. Історія сповнена символіки та метафор, що відображають річка. Читацький досвід збагачений глибокими роздумами про річка.",Проза,123,3.0,400,Проза,Річкові оповіді,2025-04-25T12:21:10.258900Z,False
75,1,3.4,2025-04-25T12:21:15.258845Z,"Автор занурює читача в атмосферу гора, поєднуючи драму та пригоди. Читацький досвід збагачений глибокими роздумами про гора. Історія сповнена символіки та метафор, що відображають гора.",Проза,124,3.3,380,Проза,Гірські історії,2025-04-25T12:21:15.258900Z,True
76,1,2.8,2025-04-25T12:21:20.258845Z,"Ця книга розповідає про таємницю в селі, де кожен поворот сюжету тримає в напрузі. Автор занурює читача в атмосферу село, поєднуючи драму та розслідування. Читацький досвід збагачений напругою.",Детектив,125,3.2,410,Детектив,Таємниця села,2025-04-25T12:21:20.258900Z,False
77,1,3.5,2025-04-25T12:21:25.258845Z,"Автор занурює читача в атмосферу пустеля, де розкривається загадка. Ця книга розповідає про пустеля, де кожен поворот сюжету тримає в напрузі. Читацький досвід збагачений напругою.",Детектив,126,3.1,390,Детектив,Загадка пустелі,2025-04-25T12:21:25.258900Z,False
78,1,4.0,2025-04-25T12:21:30.258845Z,"Ця книга розповідає про таємницю в небі, де кожен поворот сюжету тримає в напрузі. Автор занурює читача в атмосферу небо, поєднуючи драму та розслідування. Читацький досвід збагачений напругою.",Детектив,127,3.0,420,Детектив,Таємниця неба,2025-04-25T12:21:30.258900Z,False
79,1,3.2,2025-04-25T12:21:35.258845Z,"Читацький досвід збагачений напругою від розслідування в зірці. Історія сповнена загадок, що відображають зірка. Роман ідеально пасує для шанувальників жанру, хто цінує зірка.",Детектив,128,3.3,400,Детектив,Загадка зірки,2025-04-25T12:21:35.258900Z,True
80,1,2.9,2025-04-25T12:21:40.258845Z,"Ця книга розповідає про таємницю в річці, де кожен поворот сюжету тримає в напрузі. Автор занурює читача в атмосферу річка, поєднуючи драму та розслідування. Читацький досвід збагачений напругою.",Детектив,129,3.2,380,Детектив,Таємниця річки,2025-04-25T12:21:40.258900Z,False
81,1,3.7,2025-04-25T12:21:45.258845Z,"Автор занурює читача в атмосферу гора, де розкривається загадка. Ця книга розповідає про гора, де кожен поворот сюжету тримає в напрузі. Читацький досвід збагачений напругою.",Детектив,130,3.1,410,Детектив,Загадка гори,2025-04-25T12:21:45.258900Z,False
